tic,conm,datadate,fyear,at,lt,teq,revt,ni,exchg
MHH,MASTECH DIGITAL INC,31DEC2019,2019,90.584,44.304,46.28,193.574,11.145,12
MYOS,MYOS RENS TECHNOLOGY INC,31DEC2019,2019,3.038,1.858,1.18,1.032,-4.258,14
RST,ROSETTA STONE INC,31DEC2019,2019,201.107,217.299,-16.192,182.702,-12.956,11
FSFG,FIRST SAVINGS FINANCIAL GP,30SEP2019,2019,1222.579,1101.322,121.257,94.849,16.177,14
MDRX,ALLSCRIPTS HEALTHCARE SOLTNS,31DEC2019,2019,3205.739,1920.551,1285.188,1771.677,-182.178,14
GPRE,GREEN PLAINS INC,31DEC2019,2019,1698.218,832.932,865.286,2417.238,-166.86,14
DMRC,DIGIMARC CORP,31DEC2019,2019,57.388,7.938,49.45,22.987,-32.84,14
CCLP,CSI COMPRESSCO LP,31DEC2019,2019,822.246,773.255,48.991,476.581,-20.973,14
FSBW,FS BANCORP INC,31DEC2019,2019,1713.056,1512.814,200.242,112.66,22.717,14
CLW,CLEARWATER PAPER CORP,31DEC2019,2019,1877.7,1445.7,432.0,1761.5,-5.6,11
SLCA,U S SILICA HOLDINGS INC,31DEC2019,2019,2553.234,1836.654,716.58,1474.477,-329.082,11
ONCS,ONCOSEC MEDICAL INC,31JUL2019,2019,29.892,5.613,24.279,0.0,-30.276,14
ZVO,ZOVIO INC,31DEC2019,2019,250.138,151.2,98.938,417.795,-54.812,14
ABIO,ARCA BIOPHARMA INC,31DEC2019,2019,8.536,0.926,7.61,0.0,-5.482,14
RIVE,RIVERVIEW FINANCIAL CORP,31DEC2019,2019,1079.954,961.844,118.11,58.061,4.286,14
OPI,OFFICE PROPERTIES INCOME TR,31DEC2019,2019,4193.136,2487.382,1705.754,680.15,30.335,14
ADMP,ADAMIS PHARMACEUTICALS CORP,31DEC2019,2019,47.841,11.804,36.037,22.114,-29.307,14
RC,READY CAPITAL CORP,31DEC2019,2019,4977.018,4132.234,844.784,274.891,72.968,11
WMC,WESTERN ASSET MTG CAPITAL CP,31DEC2019,2019,5160.971,4596.51,564.461,346.701,70.699,11
ISDR,ISSUER DIRECT CORP,31DEC2019,2019,32.39,6.29,26.1,16.295,0.686,12
CNET,CHINANET ONLINE HOLDINGS,31DEC2019,2019,18.551,7.138,11.413,58.08,-1.261,14
TBNK,TERRITORIAL BANCORP INC,31DEC2019,2019,2086.313,1842.423,243.89,83.4,21.995,14
ADUS,ADDUS HOMECARE CORP,31DEC2019,2019,636.748,161.156,475.592,648.791,25.237,14
ASPS,ALTISOURCE PORTFOLIO SOLTNS,31DEC2019,2019,385.119,406.476,-21.357,648.651,-307.969,14
TXMD,THERAPEUTICSMD INC,31DEC2019,2019,265.986,256.785,9.201,49.647,-176.145,14
PMT,PENNYMAC MORTGAGE INVEST TR,31DEC2019,2019,11771.351,9320.436,2450.915,786.261,226.357,11
CO,GLOBAL CORD BLOOD CORP,31MAR2020,2019,1019.464,470.398,549.066,172.474,66.467,11
H,HYATT HOTELS CORP,31DEC2019,2019,8417.0,4450.0,3967.0,5020.0,766.0,11
FTNT,FORTINET INC,31DEC2019,2019,3885.5,2563.6,1321.9,2156.2,326.5,14
